STATE,DISTRICT,STATION,LAT,LON,TEMP,DATE_TEMP,TIME_TEMP,RH,DATE_RH,TIME_RH,LOGGED_AT (IST),EHI (in shade °C),Light Work Heat Stress Zone,EHI_350 (in shade °C),Hard Labor Heat Stress Zone,EHI_3_shade,Zone_3_shade,EHI_3_sun,Zone_3_sun,EHI_4_shade,Zone_4_shade,EHI_4_sun,Zone_4_sun,EHI_5_shade,Zone_5_shade,EHI_5_sun,Zone_5_sun,EHI_6_shade,Zone_6_shade,EHI_6_sun,Zone_6_sun
Odisha,Balangir,Bolangir,20.7,83.47,25.0,2026-09-15,04:45:00,100.0,2026-09-14,04:45:00,2026-09-15 04:53:29,27.950000000000045,Zone 4,60.9,Zone 5,27.22,Zone 4,59.79,Zone 5,34.38,Zone 4,62.96,Zone 5,51.33,Zone 5,65.28,Zone 5,60.9,Zone 5,67.07,Zone 5
Odisha,Balasore,Fm University,21.553,86.8147,26.3,2026-09-15,04:45:00,100.0,2026-09-14,04:45:00,2026-09-15 04:53:29,30.850000000000023,Zone 4,63.56,Zone 5,30.49,Zone 4,62.52,Zone 5,44.17,Zone 5,65.28,Zone 5,60.18,Zone 5,67.29,Zone 5,63.56,Zone 5,68.83,Zone 5
Odisha,Bargarh,Barapalli,21.18,83.59,26.0,2026-09-15,04:30:00,,,,2026-09-15 04:53:29,,,,,,,,,,,,,,,,,,,,
Odisha,Cuttack,Cuttack Kvk,20.5958,86.0239,25.9,2026-09-15,04:45:00,,,,2026-09-15 04:53:29,,,,,,,,,,,,,,,,,,,,
Odisha,Ganjam,Benakuda Kvk,19.9508,84.5929,24.7,2026-09-15,04:45:00,98.0,2026-09-14,04:45:00,2026-09-15 04:53:29,27.25,Zone 4,59.62,Zone 5,26.16,Zone 4,57.14,Zone 5,32.97,Zone 4,61.84,Zone 5,45.1,Zone 5,64.31,Zone 5,59.62,Zone 5,66.22,Zone 5
Odisha,Jharsuguda,Jharsuguda,21.89,84.03,24.7,2026-09-15,04:45:00,100.0,2026-09-14,04:45:00,2026-09-15 04:53:29,27.350000000000023,Zone 4,60.03,Zone 5,26.29,Zone 4,58.62,Zone 5,33.24,Zone 4,62.19,Zone 5,47.04,Zone 5,64.61,Zone 5,60.03,Zone 5,66.49,Zone 5
Odisha,Kandhamal,Phulbani,20.4786,84.2913,23.0,2026-09-15,04:45:00,100.0,2026-09-14,04:45:00,2026-09-15 04:53:29,24.75,Zone 3,53.01,Zone 5,24.29,Zone 3,48.21,Zone 5,30.26,Zone 4,59.93,Zone 5,36.15,Zone 4,62.65,Zone 5,53.01,Zone 5,64.76,Zone 5
Odisha,Khurdha,Pitapalli,20.201,85.6671,25.4,2026-09-15,04:45:00,100.0,2026-09-14,04:45:00,2026-09-15 04:53:29,28.75,Zone 4,61.78,Zone 5,28.23,Zone 4,60.7,Zone 5,35.61,Zone 4,63.73,Zone 5,55.54,Zone 5,65.94,Zone 5,61.78,Zone 5,67.65,Zone 5
Odisha,Mayurbhanj,Baripada,21.9228,86.7405,26.4,2026-09-15,04:45:00,100.0,2026-09-14,04:45:00,2026-09-15 04:53:29,31.05000000000001,Zone 4,63.56,Zone 5,30.49,Zone 4,62.52,Zone 5,44.17,Zone 5,65.28,Zone 5,60.18,Zone 5,67.29,Zone 5,63.56,Zone 5,68.83,Zone 5
Odisha,Puri,Janhukuda(Near Satapada),19.646,85.4058,27.8,2026-09-15,04:45:00,100.0,2026-09-14,04:45:00,2026-09-15 04:53:29,35.05000000000001,Zone 5,66.26,Zone 5,34.81,Zone 4,65.32,Zone 5,59.24,Zone 5,67.65,Zone 5,63.42,Zone 5,69.34,Zone 5,66.26,Zone 5,72.76,Zone 6
Odisha,Puri,Puri Kvk,19.9335,85.8181,24.1,2026-09-15,04:45:00,,,,2026-09-15 04:53:29,,,,,,,,,,,,,,,,,,,,
Odisha,Rayagada,Gunupur Kvk,19.0871,83.8144,24.8,2026-09-15,04:45:00,100.0,2026-09-14,04:45:00,2026-09-15 04:53:29,27.55000000000001,Zone 4,60.9,Zone 5,27.22,Zone 4,59.79,Zone 5,34.38,Zone 4,62.96,Zone 5,51.33,Zone 5,65.28,Zone 5,60.9,Zone 5,67.07,Zone 5
Odisha,Sambalpur,Dhankauda,21.4691,84.0018,25.1,2026-09-15,04:45:00,82.0,2026-09-14,04:45:00,2026-09-15 04:53:29,26.75,Zone 4,51.69,Zone 5,25.99,Zone 4,46.9,Zone 5,32.04,Zone 4,59.66,Zone 5,37.55,Zone 4,62.41,Zone 5,51.69,Zone 5,64.55,Zone 5
Odisha,Subarnapur,Dungripalli,21.04,83.54,25.5,2026-09-15,04:45:00,,,,2026-09-15 04:53:29,,,,,,,,,,,,,,,,,,,,
Odisha,Sundergarh,Sundergarh,22.1176,84.0436,25.1,2026-09-15,04:45:00,100.0,2026-09-14,04:45:00,2026-09-15 04:53:29,28.150000000000034,Zone 4,60.9,Zone 5,27.22,Zone 4,59.79,Zone 5,34.38,Zone 4,62.96,Zone 5,51.33,Zone 5,65.28,Zone 5,60.9,Zone 5,67.07,Zone 5
Puducherry,Mahe,Mahe Jnv,11.7514,75.5439,25.7,2026-09-15,04:45:00,99.0,2026-09-14,04:45:00,2026-09-15 04:53:29,29.350000000000023,Zone 4,61.57,Zone 5,28.13,Zone 4,60.48,Zone 5,35.43,Zone 4,63.54,Zone 5,54.56,Zone 5,65.79,Zone 5,61.57,Zone 5,67.51,Zone 5
Puducherry,Puducherry,Puducherry,11.9517,79.8267,26.4,2026-09-15,04:45:00,100.0,2026-09-14,04:45:00,2026-09-15 04:53:29,31.05000000000001,Zone 4,63.56,Zone 5,30.49,Zone 4,62.52,Zone 5,44.17,Zone 5,65.28,Zone 5,60.18,Zone 5,67.29,Zone 5,63.56,Zone 5,68.83,Zone 5
Puducherry,Puducherry,Puducherry Kvk,11.936,79.7687,25.4,2026-09-15,04:45:00,100.0,2026-09-14,04:45:00,2026-09-15 04:53:29,28.75,Zone 4,61.78,Zone 5,28.23,Zone 4,60.7,Zone 5,35.61,Zone 4,63.73,Zone 5,55.54,Zone 5,65.94,Zone 5,61.78,Zone 5,67.65,Zone 5
Punjab,Barnala,Barnala,30.36,75.53,26.0,2026-09-15,04:45:00,93.0,2026-09-14,04:45:00,2026-09-15 04:53:29,29.350000000000023,Zone 4,61.17,Zone 5,28.57,Zone 4,60.07,Zone 5,35.61,Zone 4,63.19,Zone 5,52.62,Zone 5,65.48,Zone 5,61.17,Zone 5,67.25,Zone 5
Punjab,Bathinda,Bhatinda Amfu,30.19,74.9333,26.0,2026-09-15,04:45:00,95.0,2026-09-14,04:45:00,2026-09-15 04:53:29,29.55000000000001,Zone 4,61.6,Zone 5,28.77,Zone 4,60.51,Zone 5,35.97,Zone 4,63.57,Zone 5,54.69,Zone 5,65.81,Zone 5,61.6,Zone 5,67.53,Zone 5
Punjab,Faridkot,Faridkot Amfu,30.67,74.74,27.8,2026-09-15,04:45:00,,,,2026-09-15 04:53:29,,,,,,,,,,,,,,,,,,,,
Punjab,Fatehgarh Sahib,Fatehgarh Sahib,30.62,76.41,24.7,2026-09-15,04:45:00,99.0,2026-09-14,04:45:00,2026-09-15 04:53:29,27.350000000000023,Zone 4,59.82,Zone 5,26.22,Zone 4,57.89,Zone 5,33.1,Zone 4,62.02,Zone 5,46.06,Zone 5,64.46,Zone 5,59.82,Zone 5,66.35,Zone 5
Punjab,Firozpur,Ferojpur,30.91,74.66,26.4,2026-09-15,04:45:00,94.0,2026-09-14,04:45:00,2026-09-15 04:53:29,30.25,Zone 4,62.25,Zone 5,29.72,Zone 4,61.18,Zone 5,37.32,Zone 5,64.14,Zone 5,57.64,Zone 5,66.3,Zone 5,62.25,Zone 5,67.97,Zone 5
Punjab,Firozpur,Firozpur Kvk,30.933,74.622,26.4,2026-09-15,04:45:00,97.0,2026-09-14,04:45:00,2026-09-15 04:53:29,30.650000000000034,Zone 4,62.91,Zone 5,30.09,Zone 4,61.85,Zone 5,40.58,Zone 5,64.71,Zone 5,59.41,Zone 5,66.8,Zone 5,62.91,Zone 5,68.4,Zone 5
Punjab,Gurdaspur,Gurdaspur Amfu,32.05,75.42,21.2,2026-09-15,04:45:00,93.0,2026-09-14,04:45:00,2026-09-15 04:53:29,22.55000000000001,Zone 3,36.76,Zone 4,21.7,Zone 3,35.56,Zone 4,26.7,Zone 4,46.8,Zone 5,31.87,Zone 4,59.14,Zone 5,36.76,Zone 4,61.66,Zone 5
Punjab,Hoshiarpur,Hosiyarpur,31.38,76.0239,22.1,2026-09-15,04:45:00,100.0,2026-09-14,04:45:00,2026-09-15 04:53:29,23.850000000000023,Zone 3,46.01,Zone 5,23.18,Zone 3,41.41,Zone 5,28.57,Zone 4,57.02,Zone 5,34.19,Zone 4,61.36,Zone 5,46.01,Zone 5,63.62,Zone 5
Punjab,Hoshiarpur,Salern,31.5833,75.98,20.3,2026-09-15,04:45:00,100.0,2026-09-14,04:45:00,2026-09-15 04:53:29,21.850000000000023,Zone 3,36.83,Zone 5,21.41,Zone 3,35.41,Zone 4,26.35,Zone 4,48.28,Zone 5,31.64,Zone 4,59.46,Zone 5,36.83,Zone 5,61.94,Zone 5
Punjab,Jalandhar,Jalandhar,31.05,75.34,23.8,2026-09-15,04:45:00,91.0,2026-09-14,04:45:00,2026-09-15 04:53:29,25.25,Zone 3,52.68,Zone 5,25.04,Zone 3,47.89,Zone 5,31.21,Zone 4,59.87,Zone 5,36.93,Zone 4,62.59,Zone 5,52.68,Zone 5,64.71,Zone 5
Punjab,Ludhiana,Ludhiyana Amfu,30.55,75.51,25.3,2026-09-15,04:45:00,99.0,2026-09-14,04:45:00,2026-09-15 04:53:29,28.450000000000045,Zone 4,61.57,Zone 5,28.13,Zone 4,60.48,Zone 5,35.43,Zone 4,63.54,Zone 5,54.56,Zone 5,65.79,Zone 5,61.57,Zone 5,67.51,Zone 5
Punjab,Mohali,Mohali,30.79,76.81,26.4,2026-09-15,04:45:00,77.0,2026-09-14,04:45:00,2026-09-15 04:53:29,28.55000000000001,Zone 4,56.84,Zone 5,28.02,Zone 4,52.35,Zone 5,34.14,Zone 4,60.79,Zone 5,39.73,Zone 4,63.4,Zone 5,56.84,Zone 5,65.41,Zone 5
Punjab,Muktsar,Muktsar,30.45,74.51,25.6,2026-09-15,04:45:00,99.0,2026-09-14,04:45:00,2026-09-15 04:53:29,29.150000000000034,Zone 4,61.57,Zone 5,28.13,Zone 4,60.48,Zone 5,35.43,Zone 4,63.54,Zone 5,54.56,Zone 5,65.79,Zone 5,61.57,Zone 5,67.51,Zone 5
Punjab,Pathankot,Kvk Pathankot,32.3217,75.6622,21.8,2026-09-15,04:45:00,87.0,2026-09-14,04:45:00,2026-09-15 04:53:29,22.950000000000045,Zone 3,37.77,Zone 4,22.62,Zone 3,36.56,Zone 4,27.76,Zone 4,48.58,Zone 5,32.91,Zone 4,59.52,Zone 5,37.77,Zone 4,62.0,Zone 5
Punjab,Pathankot,Thein Dam,32.4409,75.7575,21.3,2026-09-15,04:45:00,100.0,2026-09-14,04:45:00,2026-09-15 04:53:29,22.950000000000045,Zone 3,42.68,Zone 5,22.6,Zone 3,38.42,Zone 5,27.79,Zone 4,54.2,Zone 5,33.3,Zone 4,60.72,Zone 5,42.68,Zone 5,63.06,Zone 5
Punjab,Patiala,Rauni,30.3333,76.27,25.1,2026-09-15,04:45:00,97.0,2026-09-14,04:45:00,2026-09-15 04:53:29,27.950000000000045,Zone 4,60.28,Zone 5,26.99,Zone 4,59.16,Zone 5,33.93,Zone 4,62.42,Zone 5,48.3,Zone 5,64.81,Zone 5,60.28,Zone 5,66.66,Zone 5
Punjab,Rupnagar,Bhakra Dam Imdnagal,31.387,76.3783,25.1,2026-09-15,04:45:00,100.0,2026-09-14,04:45:00,2026-09-15 04:53:29,28.150000000000034,Zone 4,60.9,Zone 5,27.22,Zone 4,59.79,Zone 5,34.38,Zone 4,62.96,Zone 5,51.33,Zone 5,65.28,Zone 5,60.9,Zone 5,67.07,Zone 5
Punjab,Rupnagar,Sri Anadpur Sahib Imdjindwadi,31.289,76.4159,6.8,2026-09-15,04:45:00,97.0,2026-09-14,04:45:00,2026-09-15 04:53:29,6.75,Zone 2,23.05,Zone 3,5.81,Zone 2,22.8,Zone 3,13.98,Zone 2,25.08,Zone 3,19.66,Zone 3,28.28,Zone 4,23.05,Zone 3,31.55,Zone 4
Punjab,Sangrur,Sangrur,30.12,75.89,24.8,2026-09-15,04:45:00,100.0,2026-09-14,04:45:00,2026-09-15 04:53:29,27.55000000000001,Zone 4,60.9,Zone 5,27.22,Zone 4,59.79,Zone 5,34.38,Zone 4,62.96,Zone 5,51.33,Zone 5,65.28,Zone 5,60.9,Zone 5,67.07,Zone 5
Rajasthan,Ajmer,Ajmer,26.42,74.62,25.8,2026-09-15,04:45:00,95.0,2026-09-14,04:45:00,2026-09-15 04:53:29,29.150000000000034,Zone 4,61.6,Zone 5,28.77,Zone 4,60.51,Zone 5,35.97,Zone 4,63.57,Zone 5,54.69,Zone 5,65.81,Zone 5,61.6,Zone 5,67.53,Zone 5
Rajasthan,Ajmer,Central University Kishangarh,26.6237,75.0219,25.3,2026-09-15,04:45:00,100.0,2026-09-14,04:45:00,2026-09-15 04:53:29,28.55000000000001,Zone 4,61.78,Zone 5,28.23,Zone 4,60.7,Zone 5,35.61,Zone 4,63.73,Zone 5,55.54,Zone 5,65.94,Zone 5,61.78,Zone 5,67.65,Zone 5
Rajasthan,Churu,Churu,28.28,75.12,27.0,2026-09-15,04:45:00,95.0,2026-09-14,04:45:00,2026-09-15 04:53:29,31.850000000000023,Zone 4,63.35,Zone 5,31.01,Zone 4,62.31,Zone 5,42.99,Zone 5,65.1,Zone 5,59.94,Zone 5,67.13,Zone 5,63.35,Zone 5,68.7,Zone 5
Rajasthan,Dungarpur,Dungarpur Kvk,23.865,73.8604,24.5,2026-09-15,04:45:00,,,,2026-09-15 04:53:29,,,,,,,,,,,,,,,,,,,,
Rajasthan,Jaipur,Amity University,26.8207,75.8175,24.4,2026-09-15,04:45:00,100.0,2026-09-14,04:45:00,2026-09-15 04:53:29,26.850000000000023,Zone 4,60.03,Zone 5,26.29,Zone 4,58.62,Zone 5,33.24,Zone 4,62.19,Zone 5,47.04,Zone 5,64.61,Zone 5,60.03,Zone 5,66.49,Zone 5
Rajasthan,Jaisalmer,Jaisalmer,26.9,70.9167,26.7,2026-09-15,04:45:00,72.0,2026-09-14,04:45:00,2026-09-15 04:53:29,28.55000000000001,Zone 4,52.22,Zone 5,27.62,Zone 4,47.46,Zone 5,33.46,Zone 4,59.78,Zone 5,38.79,Zone 4,62.51,Zone 5,52.22,Zone 5,64.63,Zone 5
Rajasthan,Jhunjhunu,Jhunjhunu(Aws),28.2,75.23,26.4,2026-09-15,04:45:00,100.0,2026-09-14,04:45:00,2026-09-15 04:53:29,31.05000000000001,Zone 4,63.56,Zone 5,30.49,Zone 4,62.52,Zone 5,44.17,Zone 5,65.28,Zone 5,60.18,Zone 5,67.29,Zone 5,63.56,Zone 5,68.83,Zone 5
Rajasthan,Jhunjhunu,Pilani,28.3333,75.58,23.9,2026-09-15,04:45:00,57.0,2026-09-14,04:45:00,2026-09-15 04:53:29,24.05000000000001,Zone 3,37.22,Zone 4,23.57,Zone 3,36.3,Zone 4,28.56,Zone 4,40.42,Zone 4,33.02,Zone 4,51.65,Zone 5,37.22,Zone 4,59.85,Zone 5
Rajasthan,Jodhpur,Jodhpur,26.3,73.0167,28.0,2026-09-15,04:45:00,89.0,2026-09-14,04:45:00,2026-09-15 04:53:29,33.35000000000002,Zone 4,63.73,Zone 5,32.53,Zone 4,62.7,Zone 5,45.15,Zone 5,65.43,Zone 5,60.38,Zone 5,67.42,Zone 5,63.73,Zone 5,68.95,Zone 5
Rajasthan,Karauli,Karauli Kvk,26.777,77.0691,26.0,2026-09-15,04:45:00,,,,2026-09-15 04:53:29,,,,,,,,,,,,,,,,,,,,
Rajasthan,Nagaur,Krishi Vishwavidhyalaya,27.2315,73.689,26.5,2026-09-15,04:45:00,93.0,2026-09-14,04:45:00,2026-09-15 04:53:29,30.350000000000023,Zone 4,62.03,Zone 5,29.6,Zone 4,60.96,Zone 5,36.86,Zone 4,63.95,Zone 5,56.67,Zone 5,66.14,Zone 5,62.03,Zone 5,67.82,Zone 5
Rajasthan,Pratapgarh,Pratapgarh,24.0379,74.7635,23.5,2026-09-15,04:45:00,82.0,2026-09-14,04:45:00,2026-09-15 04:53:29,24.650000000000034,Zone 3,41.97,Zone 5,24.14,Zone 3,38.48,Zone 4,29.61,Zone 4,53.58,Zone 5,34.83,Zone 4,60.58,Zone 5,41.97,Zone 5,62.94,Zone 5
Rajasthan,Sirohi,Mount Abu,24.5869,72.7036,19.8,2026-09-15,04:45:00,99.0,2026-09-14,04:45:00,2026-09-15 04:53:29,21.150000000000034,Zone 3,35.7,Zone 4,20.75,Zone 3,34.52,Zone 4,25.64,Zone 4,44.78,Zone 5,30.8,Zone 4,57.91,Zone 5,35.7,Zone 4,61.27,Zone 5
Rajasthan,Sirohi,Sirohi Kvk,24.9519,72.8815,21.6,2026-09-15,04:45:00,83.0,2026-09-14,04:45:00,2026-09-15 04:53:29,22.55000000000001,Zone 3,36.5,Zone 4,21.83,Zone 3,35.4,Zone 4,26.89,Zone 4,43.2,Zone 5,31.83,Zone 4,56.61,Zone 5,36.5,Zone 4,60.96,Zone 5
Rajasthan,Sri Ganganagar,Gharsana,29.02,73.07,29.1,2026-09-15,04:30:00,80.0,2026-09-14,04:30:00,2026-09-15 04:53:29,34.35000000000002,Zone 4,63.25,Zone 5,33.37,Zone 4,62.21,Zone 5,42.44,Zone 5,65.02,Zone 5,59.82,Zone 5,67.06,Zone 5,63.25,Zone 5,68.63,Zone 5
Sikkim,Gangtok,Gangtok,27.3314,88.6138,17.2,2026-09-15,04:45:00,100.0,2026-09-14,04:45:00,2026-09-15 04:53:29,18.05000000000001,Zone 3,31.4,Zone 4,16.95,Zone 3,30.48,Zone 4,23.12,Zone 3,34.88,Zone 4,26.92,Zone 4,43.77,Zone 5,31.4,Zone 4,55.81,Zone 5
Sikkim,Namchi,Namchi,27.1642,88.3964,19.4,2026-09-15,04:45:00,99.0,2026-09-14,04:45:00,2026-09-15 04:53:29,20.75,Zone 3,34.9,Zone 4,20.13,Zone 3,33.77,Zone 4,25.1,Zone 3,42.04,Zone 5,30.08,Zone 4,55.6,Zone 5,34.9,Zone 4,60.73,Zone 5
Sikkim,Soreng,Soreng,27.1687,88.2044,18.6,2026-09-15,04:45:00,100.0,2026-09-14,04:45:00,2026-09-15 04:53:29,19.850000000000023,Zone 3,33.46,Zone 4,18.9,Zone 3,32.41,Zone 4,24.34,Zone 3,37.62,Zone 5,28.77,Zone 4,51.16,Zone 5,33.46,Zone 4,59.75,Zone 5
Tamil Nadu,Ariyalur,Ariyalur,11.136,79.076,24.0,2026-09-15,04:45:00,96.0,2026-09-14,04:45:00,2026-09-15 04:53:29,25.850000000000023,Zone 4,56.65,Zone 5,25.22,Zone 3,52.1,Zone 5,31.73,Zone 4,60.74,Zone 5,39.46,Zone 5,63.35,Zone 5,56.65,Zone 5,65.38,Zone 5
Tamil Nadu,Chengalpattu,Mahabalipuram,12.6336,80.1976,26.8,2026-09-15,04:45:00,96.0,2026-09-14,04:45:00,2026-09-15 04:53:29,31.450000000000045,Zone 4,63.57,Zone 5,31.16,Zone 4,62.54,Zone 5,44.25,Zone 5,65.29,Zone 5,60.2,Zone 5,67.3,Zone 5,63.57,Zone 5,68.84,Zone 5
Tamil Nadu,Chengalpattu,New Chennai Township Private L,12.3808,80.0578,25.6,2026-09-15,04:45:00,100.0,2026-09-14,04:45:00,2026-09-15 04:53:29,29.25,Zone 4,61.78,Zone 5,28.23,Zone 4,60.7,Zone 5,35.61,Zone 4,63.73,Zone 5,55.54,Zone 5,65.94,Zone 5,61.78,Zone 5,67.65,Zone 5
Tamil Nadu,Chengalpattu,Vit Chennai,12.8406,80.1534,26.7,2026-09-15,04:45:00,94.0,2026-09-14,04:45:00,2026-09-15 04:53:29,30.950000000000045,Zone 4,62.25,Zone 5,29.72,Zone 4,61.18,Zone 5,37.32,Zone 5,64.14,Zone 5,57.64,Zone 5,66.3,Zone 5,62.25,Zone 5,67.97,Zone 5
Tamil Nadu,Chengalpattu,West Tambaram Sit,12.959,80.05,25.2,2026-09-15,04:45:00,,,,2026-09-15 04:53:29,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,Chennai,Chennai,13.075,80.2633,27.0,2026-09-15,04:45:00,100.0,2026-09-14,04:45:00,2026-09-15 04:53:29,32.650000000000034,Zone 4,64.46,Zone 5,31.79,Zone 4,63.45,Zone 5,49.51,Zone 5,66.07,Zone 5,61.26,Zone 5,67.97,Zone 5,64.46,Zone 5,69.54,Zone 6
Tamil Nadu,Chennai,Meenambakkam Isro,12.99,80.1983,25.2,2026-09-15,04:45:00,95.0,2026-09-14,04:45:00,2026-09-15 04:53:29,27.950000000000045,Zone 4,59.87,Zone 5,26.84,Zone 4,58.06,Zone 5,33.64,Zone 4,62.06,Zone 5,46.28,Zone 5,64.5,Zone 5,59.87,Zone 5,66.38,Zone 5
Tamil Nadu,Chennai,Niot Pallikaranai,12.953,80.035,25.4,2026-09-15,04:45:00,88.0,2026-09-14,04:45:00,2026-09-15 04:53:29,27.75,Zone 4,59.23,Zone 5,27.2,Zone 4,55.65,Zone 5,33.72,Zone 4,61.51,Zone 5,43.28,Zone 5,64.02,Zone 5,59.23,Zone 5,65.96,Zone 5
Tamil Nadu,Coimbatore,P N Palayam,11.15,76.94,22.3,2026-09-15,04:45:00,100.0,2026-09-14,04:45:00,2026-09-15 04:53:29,24.05000000000001,Zone 3,49.49,Zone 5,23.74,Zone 3,44.71,Zone 5,29.39,Zone 4,59.19,Zone 5,35.14,Zone 4,62.0,Zone 5,49.49,Zone 5,64.19,Zone 5
Tamil Nadu,Coimbatore,Upasi Tea Research Foundation,10.2682,76.9682,17.8,2026-09-15,04:45:00,44.0,2026-09-14,04:45:00,2026-09-15 04:53:29,15.950000000000045,Zone 3,29.81,Zone 4,15.2,Zone 3,29.3,Zone 4,22.4,Zone 3,32.86,Zone 4,26.15,Zone 4,36.21,Zone 4,29.81,Zone 4,39.45,Zone 4
Tamil Nadu,Cuddalore,Vridha Chalam,11.51,79.33,25.3,2026-09-15,04:45:00,92.0,2026-09-14,04:45:00,2026-09-15 04:53:29,27.850000000000023,Zone 4,60.09,Zone 5,27.52,Zone 4,58.87,Zone 5,34.3,Zone 4,62.25,Zone 5,47.37,Zone 5,64.67,Zone 5,60.09,Zone 5,66.53,Zone 5
Tamil Nadu,Dindigul,Palani,10.4556,77.523,21.9,2026-09-15,04:45:00,92.0,2026-09-14,04:45:00,2026-09-15 04:53:29,23.350000000000023,Zone 3,40.28,Zone 5,22.84,Zone 3,37.11,Zone 4,28.06,Zone 4,51.95,Zone 5,33.38,Zone 4,60.23,Zone 5,40.28,Zone 5,62.63,Zone 5
Tamil Nadu,Dindigul,Vedasandur,10.5367,77.965,23.5,2026-09-15,04:45:00,98.0,2026-09-14,04:45:00,2026-09-15 04:53:29,25.25,Zone 3,54.88,Zone 5,24.76,Zone 3,50.18,Zone 5,30.99,Zone 4,60.34,Zone 5,37.63,Zone 5,63.01,Zone 5,54.88,Zone 5,65.07,Zone 5
Tamil Nadu,Kallakurichi,Kallakurichi(Taluk Office),11.7409,78.9651,25.6,2026-09-15,04:45:00,100.0,2026-09-14,04:45:00,2026-09-15 04:53:29,29.25,Zone 4,61.78,Zone 5,28.23,Zone 4,60.7,Zone 5,35.61,Zone 4,63.73,Zone 5,55.54,Zone 5,65.94,Zone 5,61.78,Zone 5,67.65,Zone 5
Tamil Nadu,Kanchipuram,Hindustan University,12.8013,80.2237,27.1,2026-09-15,04:45:00,93.0,2026-09-14,04:45:00,2026-09-15 04:53:29,31.75,Zone 4,62.9,Zone 5,30.73,Zone 4,61.85,Zone 5,40.55,Zone 5,64.71,Zone 5,59.4,Zone 5,66.79,Zone 5,62.9,Zone 5,68.4,Zone 5
Tamil Nadu,Kanchipuram,Kanchipuram Isro,12.8333,79.7017,25.5,2026-09-15,04:45:00,63.0,2026-09-14,04:45:00,2026-09-15 04:53:29,26.25,Zone 4,40.25,Zone 4,25.64,Zone 4,39.13,Zone 4,30.93,Zone 4,49.72,Zone 5,35.72,Zone 4,59.76,Zone 5,40.25,Zone 4,62.21,Zone 5
Tamil Nadu,Kanchipuram,Lmois  Kolapakkam,13.0,80.1333,27.2,2026-09-15,04:45:00,95.0,2026-09-14,04:45:00,2026-09-15 04:53:29,32.35000000000002,Zone 4,63.35,Zone 5,31.01,Zone 4,62.31,Zone 5,42.99,Zone 5,65.1,Zone 5,59.94,Zone 5,67.13,Zone 5,63.35,Zone 5,68.7,Zone 5
Tamil Nadu,Kanchipuram,Sathyabama  University,12.8667,80.2,26.4,2026-09-15,04:45:00,,,,2026-09-15 04:53:29,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,Kanyakumari,Thirupathisaram Amfu,8.2103,77.4524,24.8,2026-09-15,04:45:00,93.0,2026-09-14,04:45:00,2026-09-15 04:53:29,27.05000000000001,Zone 4,59.45,Zone 5,26.7,Zone 4,56.49,Zone 5,33.37,Zone 4,61.69,Zone 5,44.29,Zone 5,64.18,Zone 5,59.45,Zone 5,66.1,Zone 5
Tamil Nadu,Karur,Kadavur(Taluk Office),10.714,78.2413,23.8,2026-09-15,04:30:00,100.0,2026-09-14,04:30:00,2026-09-15 04:53:29,25.75,Zone 4,59.15,Zone 5,25.42,Zone 4,55.33,Zone 5,32.18,Zone 4,61.44,Zone 5,42.93,Zone 5,63.96,Zone 5,59.15,Zone 5,65.91,Zone 5
Tamil Nadu,Krishnagiri,Denkanikottai,12.52,77.79,20.4,2026-09-15,04:45:00,94.0,2026-09-14,04:45:00,2026-09-15 04:53:29,21.650000000000034,Zone 3,36.03,Zone 4,21.13,Zone 3,34.87,Zone 4,26.09,Zone 4,44.6,Zone 5,31.2,Zone 4,57.77,Zone 5,36.03,Zone 4,61.24,Zone 5
Tamil Nadu,Krishnagiri,Hosur,12.7183,77.8267,20.5,2026-09-15,04:45:00,,,,2026-09-15 04:53:29,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,Mayiladuthurai,Mayiladuthurai,11.1008,79.6824,24.7,2026-09-15,04:45:00,,,,2026-09-15 04:53:29,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,Nagapattinam,Mo Nagapattinam Campus,10.7569,79.8465,26.3,2026-09-15,04:15:00,,,,2026-09-15 04:53:29,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,Nagapattinam,Vedharanyam,10.3861,79.8498,25.0,2026-09-15,04:45:00,96.0,2026-09-14,04:45:00,2026-09-15 04:53:29,27.650000000000034,Zone 4,60.08,Zone 5,26.91,Zone 4,58.8,Zone 5,33.78,Zone 4,62.24,Zone 5,47.28,Zone 5,64.65,Zone 5,60.08,Zone 5,66.52,Zone 5
Tamil Nadu,Ramanathapuram,Ramnadu Kvk,9.3462,78.8981,25.0,2026-09-15,04:45:00,,,,2026-09-15 04:53:29,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,Ranipet,Ranipet,13.0162,79.7763,24.7,2026-09-15,04:45:00,100.0,2026-09-14,04:45:00,2026-09-15 04:53:29,27.350000000000023,Zone 4,60.03,Zone 5,26.29,Zone 4,58.62,Zone 5,33.24,Zone 4,62.19,Zone 5,47.04,Zone 5,64.61,Zone 5,60.03,Zone 5,66.49,Zone 5
